message,label,category
Cheap meds online no prescription required.,medium,Suspicious Message
"""Your online banking session has expired. Re-login to continue.""",high,Suspicious Message
"""Exclusive shopping deal available immediately.""",medium,Suspicious Message
"""Your online profile needs confirmation due to security reasons.""",high,Suspicious Message
Earn $750 cashback when you shop shoes at the marketplace.,medium,Spam / Promotional
"""Your account has an important security message.""",high,Suspicious Message
The payment confirmation has been received.,low,Legitimate Message
Can we reschedule the training session to next week?,low,Legitimate Message
Can you send me the report for the meeting?,low,Legitimate Message
"""Your payment was declined. Confirm your card details.""",high,Suspicious Message
Use code SAVE10 for 70% off shoes this the end of the week.,medium,Suspicious Message
"The budget summary has been updated, please review.",low,Legitimate Message
Thank you for your quick response.,low,Legitimate Message
I've attached the presentation you requested.,low,Legitimate Message
I will be at the gym around 5 PM.,low,Legitimate Message
Your Amazon password will expire 12 hours. Click here to reset it.,high,Suspicious Message
Please contact me when you arrive.,low,Legitimate Message
The team approved your leave request for August.,low,Legitimate Message
Unusual login detected on your Amazon account. Confirm your identity within 3 days.,high,Suspicious Message
The weather looks great for a picnic this weekend.,low,Legitimate Message
"""Your login credentials may have been exposed. Change them now.""",high,Suspicious Message
"""Free subscription offer available for a limited time.""",medium,Spam / Promotional
Your PayPal password will expire 2 hours. Click here to reset it.,high,Suspicious Message
Your Steam account has a pending trade. Authorize at login page.,high,Suspicious Message
Final notice: your Apple account will be suspended in 48 hours. Act now.,high,Suspicious Message
"""Your payment details have changed. Confirm this update.""",high,Suspicious Message
"""Your account has reached a security limit. Verify your identity.""",high,Suspicious Message
The application has entered the review stage.,low,Legitimate Message
Can we reschedule the interview to Wednesday?,low,Legitimate Message
Use code VIP50 for 40% off shoes this Friday.,medium,Suspicious Message
Happy birthday! Hope you have a great day.,low,Legitimate Message
I will be at the cafe around noon.,low,Legitimate Message
"""Your bank needs additional information to approve your transaction.""",high,Suspicious Message
Your Amazon account shows unauthorized charges. Confirm your identity to dispute them.,high,Suspicious Message
Your Instagram account will be permanently deleted in 24 hours unless you verify now.,high,Suspicious Message
"""Special offer for you! Click to claim your discount.""",medium,Spam / Promotional
"""Free movie subscription available. Activate today.""",medium,Spam / Promotional
We could not verify your bank details. Update them within today or lose access.,high,Suspicious Message
Your bank account has been locked. Verify your information to unlock it.,high,Suspicious Message
The library book should be returned next week.,low,Legitimate Message
Use code SAVE10 for 30% off groceries this Monday.,medium,Suspicious Message
See you at the library tomorrow at noon.,low,Legitimate Message
"Get 50% off your next home goods purchase, use code FREESHIP!",medium,Spam / Promotional
See you tomorrow at campus.,low,Legitimate Message
Final notice: your email account will be suspended in 48 hours. Act now.,high,Suspicious Message
I will prepare the required materials tonight.,low,Legitimate Message
Your insurance password will expire 48 hours. Click here to reset it.,high,Suspicious Message
"""Receive RM300 shopping credit by signing up now.""",medium,Suspicious Message
Your payment method failed. Update your billing details within 12 hours.,high,Suspicious Message
Your PayPal password will expire 48 hours. Click here to reset it.,high,Suspicious Message
"""Your online account will be deleted unless action is taken.""",high,Suspicious Message
"""Earn rewards easily with our new program.""",medium,Suspicious Message
Please confirm your attendance.,low,Legitimate Message
"""Your transaction requires additional security verification.""",high,Suspicious Message
"""Congratulations! You are our lucky customer.""",medium,Suspicious Message
"""Your account requires immediate security attention.""",high,Suspicious Message
Special offer: subscribe to the retailer now and save 40%.,medium,Spam / Promotional
Can you send me the invoice for the training session?,low,Legitimate Message
Reminder: the interview starts at 10:30 AM.,low,Legitimate Message
"""Win a brand new laptop by joining our lucky draw.""",medium,Suspicious Message
"""Flash promotion ends soon. Shop now.""",medium,Suspicious Message
"""Claim your bonus reward with one simple step.""",medium,Suspicious Message
"""Your account requires additional identity verification.""",high,Suspicious Message
Use code SAVE10 for 60% off clothing this Friday.,medium,Suspicious Message
Reminder: the training session starts at 9 AM.,low,Legitimate Message
Final notice: your Instagram account will be suspended in 48 hours. Act now.,high,Suspicious Message
The project files are stored in the shared folder.,low,Legitimate Message
Use code DEAL30 for 50% off beauty products this Friday.,medium,Suspicious Message
Your application is being processed.,low,Legitimate Message
Your social media account will be permanently deleted in the next hour unless you verify now.,high,Suspicious Message
Click here to confirm your PayPal login before your session expires in 24 hours.,high,Suspicious Message
Don't miss out: 30% off accessories ends midnight.,medium,Suspicious Message
"""Congratulations! You have earned a free voucher.""",medium,Spam / Promotional
The new software version is ready to install.,low,Legitimate Message
Use code TREAT25 for 20% off home goods this Monday.,medium,Suspicious Message
Immediate action required: your social media account will be closed in today.,high,Suspicious Message
Click here to confirm your insurance login before your session expires in 48 hours.,high,Suspicious Message
Earn $750 cashback when you shop clothing at our partner.,medium,Spam / Promotional
Please confirm your availability for the class.,low,Legitimate Message
FedEx: delivery attempt failed. Reschedule at http://fedex-track.example,high,Suspicious Message
I'm running a few minutes late to the class.,low,Legitimate Message
"""Earn rewards by inviting your friends.""",medium,Suspicious Message
Exclusive deal just for you: 15% off furniture at the marketplace.,medium,Suspicious Message
Your tax refund is ready. Submit bank details to receive payment.,high,Suspicious Message
"""Limited seats available. Register immediately.""",medium,Suspicious Message
"Get 40% off your next clothing purchase, use code SAVE10!",medium,Suspicious Message
"""Get your bonus gift after a quick registration.""",medium,Spam / Promotional
"""Your account protection needs renewal. Verify now.""",high,Suspicious Message
Use code VIP50 for 80% off accessories this tonight.,medium,Suspicious Message
Use code VIP50 for 30% off electronics this tonight.,medium,Suspicious Message
Click here to confirm your Netflix login before your session expires in 24 hours.,high,Suspicious Message
I have completed the testing process.,low,Legitimate Message
"""Special offer! Buy more and save more.""",medium,Spam / Promotional
Hot singles in your area want to meet you tonight.,medium,Suspicious Message
"""Your bank profile requires immediate confirmation.""",high,Suspicious Message
I finished the lab report and uploaded it.,low,Legitimate Message
"""Free delivery and discounts available this week.""",medium,Spam / Promotional
Unusual login detected on your Netflix account. Confirm your identity within 48 hours.,high,Suspicious Message
the club rewards: claim your cash prize worth $750 today.,medium,Spam / Promotional
The meeting minutes have been uploaded.,low,Legitimate Message
"""Your online wallet has been suspended. Verify to restore access.""",high,Suspicious Message
"""Huge savings available. Shop our latest collection now.""",medium,Suspicious Message
The booking information has been updated.,low,Legitimate Message
"""Congratulations! You have unlocked a special reward today.""",medium,Suspicious Message
Can you send me the file for the workshop?,low,Legitimate Message
Your bank account will be permanently deleted in 2 hours unless you verify now.,high,Suspicious Message
Can we reschedule the appointment to Wednesday?,low,Legitimate Message
"""Save money today with our amazing deals.""",medium,Suspicious Message
Final notice: your Microsoft account will be suspended in the next hour. Act now.,high,Suspicious Message
the marketplace rewards: claim your new phone worth $50 today.,medium,Suspicious Message
Reminder: the training session starts at 6:15 PM.,low,Legitimate Message
"""Your account recovery requires identity verification.""",high,Suspicious Message
"""Claim your free data package before it ends.""",medium,Spam / Promotional
The exam results will be posted on Friday.,low,Legitimate Message
Reminder: the class starts at 2 PM.,low,Legitimate Message
Use code TREAT25 for 15% off furniture this tonight.,medium,Suspicious Message
"""Your account has been blocked because of unusual activity.""",high,Suspicious Message
Earn $750 cashback when you shop clothing at the retailer.,medium,Spam / Promotional
I am currently working on the assignment.,low,Legitimate Message
Your bank account will be permanently deleted in 12 hours unless you verify now.,high,Suspicious Message
our partner rewards: claim your free vacation worth $750 today.,medium,Spam / Promotional
I will check the system performance later.,low,Legitimate Message
"""Win a brand new device in our online giveaway.""",medium,Suspicious Message
I have finished preparing the materials.,low,Legitimate Message
"""Your account requires identity confirmation to continue.""",high,Suspicious Message
Unusual login detected on your Instagram account. Confirm your identity within 48 hours.,high,Suspicious Message
Use code SAVE10 for 10% off groceries this this weekend.,medium,Suspicious Message
Use code BONUS20 for 30% off home goods this the end of the week.,medium,Suspicious Message
I'm running a few minutes late to the workshop.,low,Legitimate Message
Reminder: the interview starts at 9 AM.,low,Legitimate Message
Unusual login detected on your government tax account. Confirm your identity within 3 days.,high,Suspicious Message
Special offer: subscribe to the marketplace now and save 15%.,medium,Spam / Promotional
"""Your account recovery process is waiting for confirmation.""",high,Suspicious Message
Earn $150 cashback when you shop shoes at our store.,medium,Spam / Promotional
"""Join our lucky draw and win amazing prizes.""",medium,Spam / Promotional
Your email password will expire 3 days. Click here to reset it.,high,Suspicious Message
"""Your free item is waiting for confirmation.""",medium,Spam / Promotional
Immediate action required: your Amazon account will be closed in 3 days.,high,Suspicious Message
Use code VIP50 for 60% off furniture this Monday.,medium,Suspicious Message
Thanks for your help with the proposal.,low,Legitimate Message
The final report is ready for submission.,low,Legitimate Message
"""Save more with our latest shopping event.""",medium,Suspicious Message
Your email password will expire 12 hours. Click here to reset it.,high,Suspicious Message
Your government tax account shows unauthorized charges. Confirm your identity to dispute them.,high,Suspicious Message
Can we reschedule the interview to next week?,low,Legitimate Message
Immediate action required: your email account will be closed in 12 hours.,high,Suspicious Message
Use code FREESHIP for 80% off accessories this midnight.,medium,Spam / Promotional
Use code WELCOME5 for 20% off groceries this Friday.,medium,Suspicious Message
Earn $750 cashback when you shop home goods at our outlet.,medium,Spam / Promotional
Use code SAVE10 for 50% off electronics this the end of the week.,medium,Suspicious Message
Your your employer password will expire 12 hours. Click here to reset it.,high,Suspicious Message
Use code WELCOME5 for 70% off home goods this tonight.,medium,Suspicious Message
The payment receipt has been attached.,low,Legitimate Message
"Get 10% off your next beauty products purchase, use code FREESHIP!",medium,Spam / Promotional
Click here to confirm your Amazon login before your session expires in 3 days.,high,Suspicious Message
"""New deal launched! Buy now before it ends.""",medium,Suspicious Message
Security alert: someone tried to access your email account from a new device.,high,Suspicious Message
I enjoyed our conversation at the conference.,low,Legitimate Message
Can you help me review this document?,low,Legitimate Message
"""Exclusive customer reward available. Claim immediately.""",medium,Suspicious Message
"""Free subscription available for new users.""",medium,Spam / Promotional
Your Apple subscription payment was declined. Update your card details now.,high,Suspicious Message
Claim your free cash prize before the end of the week.,medium,Spam / Promotional
Please remind me about the appointment.,low,Legitimate Message
"""Your reward is ready. Confirm to receive it.""",medium,Suspicious Message
Let's catch up over breakfast this Monday.,low,Legitimate Message
"""Your account access is restricted until verification.""",high,Suspicious Message
"""New users can get a welcome reward.""",medium,Suspicious Message
Can you send me the agenda for the appointment?,low,Legitimate Message
Reminder: the workshop starts at 9 AM.,low,Legitimate Message
Use code DEAL30 for 40% off accessories this the end of the week.,medium,Suspicious Message
Use code WELCOME5 for 60% off electronics this this weekend.,medium,Suspicious Message
Unusual login detected on your Instagram account. Confirm your identity within 2 hours.,high,Suspicious Message
"""Your login session is invalid. Sign in again to verify.""",high,Suspicious Message
See you at the airport tomorrow at 6:15 PM.,low,Legitimate Message
Earn $2000 cashback when you shop shoes at our store.,medium,Spam / Promotional
I will prepare the presentation slides tonight.,low,Legitimate Message
"""Your password has expired. Confirm a new password immediately.""",high,Suspicious Message
Immediate action required: your PayPal account will be closed in 12 hours.,high,Suspicious Message
Use code DEAL30 for 25% off electronics this Monday.,medium,Suspicious Message
See you at the cafe tomorrow at 5 PM.,low,Legitimate Message
Just checking in to see how the proposal is going.,low,Legitimate Message
"""Your identity verification expires today. Complete it immediately.""",high,Suspicious Message
Can we meet after class tomorrow?,low,Legitimate Message
Mom called and said she is doing well.,low,Legitimate Message
I will bring the laptop tomorrow.,low,Legitimate Message
"""Your account is at risk. Secure it immediately.""",high,Suspicious Message
"Great job on the report, well done!",low,Legitimate Message
The team meeting is scheduled for Monday.,low,Legitimate Message
Use code VIP50 for 15% off furniture this Friday.,medium,Suspicious Message
Exclusive deal just for you: 20% off accessories at the marketplace.,medium,Suspicious Message
"Great job on the assignment, well done!",low,Legitimate Message
Immediate action required: your Microsoft account will be closed in today.,high,Suspicious Message
"""Your financial information requires security confirmation.""",high,Suspicious Message
I will be at the library around noon.,low,Legitimate Message
I will be at the library around 9 AM.,low,Legitimate Message
"""Your account has an unauthorized login attempt. Secure your account immediately.""",high,Suspicious Message
"""Security department requires your account verification within 24 hours.""",high,Suspicious Message
Dropbox shared file expires today. Open link before deletion.,high,Suspicious Message
The store opens at 9 AM.,low,Legitimate Message
"""Your account access has been limited. Verify your personal details.""",high,Suspicious Message
Don't miss out: 60% off accessories ends midnight.,medium,Suspicious Message
"""Special invitation! Become a VIP customer today.""",medium,Suspicious Message
Final notice: your insurance account will be suspended in 12 hours. Act now.,high,Suspicious Message
"""Earn extra income with our simple online system.""",medium,Suspicious Message
Your bank password will expire 3 days. Click here to reset it.,high,Suspicious Message
"""Congratulations! You are selected for a special offer.""",medium,Spam / Promotional
Unusual login detected on your email account. Confirm your identity within 48 hours.,high,Suspicious Message
Your government tax account will be permanently deleted in 48 hours unless you verify now.,high,Suspicious Message
Use code DEAL30 for 25% off clothing this Monday.,medium,Suspicious Message
"""Your bank detected unusual activity. Review your account immediately.""",high,Suspicious Message
"""Special deal available only for today.""",medium,Suspicious Message
Your email account will be permanently deleted in 2 hours unless you verify now.,high,Suspicious Message
Could you review the file before Wednesday?,low,Legitimate Message
Unusual login detected on your Netflix account. Confirm your identity within today.,high,Suspicious Message
"""Your online service has detected unauthorized access.""",high,Suspicious Message
I will be at the cafe around 6:15 PM.,low,Legitimate Message
"""Special offer unlocked for your account.""",medium,Spam / Promotional
Earn $750 cashback when you shop home goods at the retailer.,medium,Spam / Promotional
"""Get your free voucher instantly.""",medium,Spam / Promotional
Use code SAVE10 for 15% off groceries this tonight.,medium,Suspicious Message
"""Win cash prizes instantly by joining our contest.""",medium,Spam / Promotional
The system is working normally.,low,Legitimate Message
"""Your credit card has been disabled. Update your details now.""",high,Suspicious Message
"""Claim your reward points before they expire.""",medium,Suspicious Message
The project review is scheduled for Wednesday.,low,Legitimate Message
We could not verify your PayPal details. Update them within 2 hours or lose access.,high,Suspicious Message
IT department: mandatory security update. Click to install patch.,high,Suspicious Message
Can you send me the schedule for the workshop?,low,Legitimate Message
We could not verify your bank details. Update them within 3 days or lose access.,high,Suspicious Message
"""Buy one get one free offer starts now.""",medium,Spam / Promotional
Security alert: someone tried to access your social media account from a new device.,high,Suspicious Message
"""Special promotion for new members only.""",medium,Suspicious Message
"""Special shopping event with huge discounts.""",medium,Suspicious Message
Could you review the agenda before Monday?,low,Legitimate Message
The teacher uploaded new materials.,low,Legitimate Message
"Get 15% off your next groceries purchase, use code SAVE10!",medium,Suspicious Message
Final notice: your government tax account will be suspended in 24 hours. Act now.,high,Suspicious Message
Could you review the report before next week?,low,Legitimate Message
Use code EXTRA15 for 50% off groceries this Friday.,medium,Suspicious Message
We could not verify your PayPal details. Update them within 24 hours or lose access.,high,Suspicious Message
Your parcel could not be delivered. Pay a small fee within 48 hours to reschedule.,high,Suspicious Message
"""Your bank detected suspicious activity. Follow the verification process.""",high,Suspicious Message
I have arrived safely at my destination.,low,Legitimate Message
Reminder: the meeting starts at noon.,low,Legitimate Message
Your government tax subscription payment was declined. Update your card details now.,high,Suspicious Message
Security alert: someone tried to access your PayPal account from a new device.,high,Suspicious Message
"Get 50% off your next electronics purchase, use code DEAL30!",medium,Suspicious Message
Please remember to submit your assignment before the deadline.,low,Legitimate Message
"""Win exciting prizes in our monthly competition.""",medium,Spam / Promotional
Click here to confirm your email login before your session expires in 2 hours.,high,Suspicious Message
"""Your account access will expire today. Verify now.""",high,Suspicious Message
our partner rewards: claim your new phone worth $50 today.,medium,Suspicious Message
"""Earn extra money with our easy online opportunity.""",medium,Suspicious Message
Use code VIP50 for 20% off accessories this this weekend.,medium,Suspicious Message
Free voucher with every shoes order this week only.,medium,Spam / Promotional
"Your our partner cart is waiting, complete your order and save 60%.",medium,Suspicious Message
Your Microsoft account will be permanently deleted in 2 hours unless you verify now.,high,Suspicious Message
our partner rewards: claim your gadget bundle worth $50 today.,medium,Suspicious Message
"""Free mobile data package available. Activate now.""",medium,Spam / Promotional
Can we reschedule the conference to Friday?,low,Legitimate Message
"""Your online account has been flagged. Confirm ownership.""",high,Suspicious Message
our partner rewards: claim your cash prize worth $500 today.,medium,Spam / Promotional
Could you review the document before Thursday?,low,Legitimate Message
"""Exclusive flash sale! Prices dropped today only.""",medium,Suspicious Message
Could you review the document before Tuesday?,low,Legitimate Message
"""Your free voucher is waiting. Redeem now.""",medium,Spam / Promotional
Use code EXTRA15 for 25% off beauty products this this weekend.,medium,Suspicious Message
Use code VIP50 for 60% off clothing this tonight.,medium,Suspicious Message
"""Special discount code available now.""",medium,Suspicious Message
Click here to confirm your bank login before your session expires in today.,high,Suspicious Message
Click here to confirm your email login before your session expires in 48 hours.,high,Suspicious Message
I have completed the testing phase.,low,Legitimate Message
Make money fast by forwarding this to 10 friends.,medium,Suspicious Message
I will be at the library around 10:30 AM.,low,Legitimate Message
"""Verify your personal information to unlock your account.""",high,Suspicious Message
Please check the attached file for the details.,low,Legitimate Message
Your reservation has been confirmed.,low,Legitimate Message
"""Get access to exclusive deals instantly.""",medium,Suspicious Message
Your Apple password will expire 24 hours. Click here to reset it.,high,Suspicious Message
"""Your password reset request requires confirmation. Verify your account.""",high,Suspicious Message
See you at the library tomorrow at 2 PM.,low,Legitimate Message
Use code FREESHIP for 50% off shoes this the end of the week.,medium,Spam / Promotional
"""Your banking profile needs confirmation immediately.""",high,Suspicious Message
Could you review the report before Monday?,low,Legitimate Message
The customer request has been processed.,low,Legitimate Message
Use code SAVE10 for 20% off clothing this Monday.,medium,Suspicious Message
Earn $1000 cashback when you shop clothing at the club.,medium,Spam / Promotional
"""Your security code has expired. Request a new verification code.""",high,Suspicious Message
"""Your email access has been limited. Confirm your details.""",high,Suspicious Message
Your Netflix account will be permanently deleted in 12 hours unless you verify now.,high,Suspicious Message
IRS notice: you owe back taxes. Pay immediately to avoid arrest.,high,Suspicious Message
Use code TREAT25 for 15% off groceries this this weekend.,medium,Suspicious Message
We could not verify your Instagram details. Update them within the next hour or lose access.,high,Suspicious Message
"""Your account details must be updated before access is removed.""",high,Suspicious Message
"""Receive extra benefits by signing up.""",medium,Suspicious Message
"""Your password reset link is ready. Confirm your account first.""",high,Suspicious Message
Free trial of premium channels. Text YES to subscribe.,medium,Spam / Promotional
Use code BONUS20 for 70% off clothing this this weekend.,medium,Suspicious Message
Click here to confirm your Instagram login before your session expires in 48 hours.,high,Suspicious Message
Click here to confirm your social media login before your session expires in 3 days.,high,Suspicious Message
"""Congratulations! You have received a bonus coupon.""",medium,Suspicious Message
Unusual login detected on your PayPal account. Confirm your identity within 24 hours.,high,Suspicious Message
"""Exclusive promotion! Buy now and receive a special bonus.""",medium,Suspicious Message
"Get 70% off your next clothing purchase, use code DEAL30!",medium,Suspicious Message
"""Limited offer! Subscribe now and get one month free.""",medium,Spam / Promotional
Exclusive deal! Buy now and save big.,medium,Suspicious Message
Please confirm your availability for the interview.,low,Legitimate Message
Your Netflix account has been flagged for review. Verify your identity to avoid suspension.,high,Suspicious Message
Don't miss out: 10% off home goods ends the end of the week.,medium,Suspicious Message
Reminder: the conference starts at 5 PM.,low,Legitimate Message
Your Amazon account will be permanently deleted in 24 hours unless you verify now.,high,Suspicious Message
"""Congratulations! You have unlocked a premium reward.""",medium,Suspicious Message
Let's discuss this during the meeting.,low,Legitimate Message
"Get 20% off your next electronics purchase, use code TREAT25!",medium,Suspicious Message
Use code WELCOME5 for 70% off shoes this Monday.,medium,Suspicious Message
Use code VIP50 for 15% off beauty products this Friday.,medium,Suspicious Message
Unusual login detected on your insurance account. Confirm your identity within 48 hours.,high,Suspicious Message
I will be at the office around 6:15 PM.,low,Legitimate Message
"""Your email account has been hacked. Change your password immediately.""",high,Suspicious Message
Let me know if you need anything else for presentation.,low,Legitimate Message
"""Your account has been locked because of unusual behavior.""",high,Suspicious Message
We could not verify your PayPal details. Update them within 3 days or lose access.,high,Suspicious Message
"""Your account has been accessed from an unknown location.""",high,Suspicious Message
Reminder: the interview starts at 6:15 PM.,low,Legitimate Message
Use code EXTRA15 for 60% off furniture this Monday.,medium,Suspicious Message
Earn $750 cashback when you shop groceries at our store.,medium,Spam / Promotional
"""Your account verification is incomplete. Complete the process today.""",high,Suspicious Message
"""Bank alert: Your account access is limited. Confirm your details.""",high,Suspicious Message
Use code WELCOME5 for 80% off furniture this Friday.,medium,Suspicious Message
The invoice has been generated.,low,Legitimate Message
You have been selected as a lucky winner!,medium,Spam / Promotional
"""Special announcement! You have received a reward.""",medium,Suspicious Message
"""Your online banking password has expired. Reset it immediately.""",high,Suspicious Message
Use code DEAL30 for 30% off clothing this the end of the week.,medium,Suspicious Message
The issue has been resolved by the technical team.,low,Legitimate Message
"""Your payment account has been suspended temporarily.""",high,Suspicious Message
Please wait while we process your request.,low,Legitimate Message
Reply STOP to unsubscribe from this offer.,medium,Spam / Promotional
"""Your account has been placed under security review.""",high,Suspicious Message
Could you review the document before Wednesday?,low,Legitimate Message
I have saved the important documents.,low,Legitimate Message
See you at home tomorrow at 6:15 PM.,low,Legitimate Message
"""Your account has a pending verification request. Complete it immediately.""",high,Suspicious Message
Your Amazon account will be permanently deleted in the next hour unless you verify now.,high,Suspicious Message
"""Your email security settings need immediate confirmation.""",high,Suspicious Message
Use code BONUS20 for 15% off accessories this Monday.,medium,Suspicious Message
Can we reschedule the class to Thursday?,low,Legitimate Message
Exclusive deal just for you: 80% off beauty products at the retailer.,medium,Suspicious Message
The library reminder has been received.,low,Legitimate Message
Exclusive deal just for you: 60% off furniture at our partner.,medium,Suspicious Message
Please check your email for the details.,low,Legitimate Message
We could not verify your email details. Update them within the next hour or lose access.,high,Suspicious Message
The office meeting starts at 2 PM.,low,Legitimate Message
Can you send me the invoice for the appointment?,low,Legitimate Message
Can you send me the summary for the appointment?,low,Legitimate Message
Can we reschedule the training session to Wednesday?,low,Legitimate Message
Use code FREESHIP for 15% off groceries this the end of the week.,medium,Spam / Promotional
Click here to confirm your PayPal login before your session expires in 12 hours.,high,Suspicious Message
Click here to confirm your Apple login before your session expires in 12 hours.,high,Suspicious Message
Can you send me the summary for the workshop?,low,Legitimate Message
Can we reschedule the class to Monday?,low,Legitimate Message
Use code BONUS20 for 15% off furniture this this weekend.,medium,Suspicious Message
Your email subscription payment was declined. Update your card details now.,high,Suspicious Message
Use code TREAT25 for 25% off electronics this Friday.,medium,Suspicious Message
"""Limited offer! Get premium access at no cost.""",medium,Spam / Promotional
"""Your account has failed security verification. Submit information again.""",high,Suspicious Message
The project review is scheduled for Friday.,low,Legitimate Message
"""Your email service requires password confirmation.""",high,Suspicious Message
"""Your security certificate has expired. Renew your account now.""",high,Suspicious Message
Unusual login detected on your insurance account. Confirm your identity within 12 hours.,high,Suspicious Message
"""Important notice: Your account requires security confirmation.""",high,Suspicious Message
I have prepared the meeting agenda.,low,Legitimate Message
The customer has confirmed the order.,low,Legitimate Message
Your food delivery is on the way.,low,Legitimate Message
Unusual login detected on your social media account. Confirm your identity within the next hour.,high,Suspicious Message
Your PayPal account has been suspended. Verify now to restore access.,high,Suspicious Message
Can you send me the invoice for the workshop?,low,Legitimate Message
"""Last chance! Claim your free reward today.""",medium,Spam / Promotional
The invoice has been received.,low,Legitimate Message
"""Receive a free bonus when you complete this offer.""",medium,Spam / Promotional
"""Your online service account is at risk. Verify your identity.""",high,Suspicious Message
"""Your account credentials need to be verified.""",high,Suspicious Message
Flash sale ends in one hour. Everything must go!,medium,Suspicious Message
"""Free shopping voucher available for selected users.""",medium,Spam / Promotional
See you at the office tomorrow at 9 AM.,low,Legitimate Message
Use code BONUS20 for 20% off beauty products this this weekend.,medium,Suspicious Message
The presentation went well today.,low,Legitimate Message
The team has approved the proposal.,low,Legitimate Message
"Flash sale! 25% off everything at our outlet, today only.",medium,Suspicious Message
We noticed suspicious activity on your PayPal account. Confirm your details now.,high,Suspicious Message
The weekly sync is scheduled for next week.,low,Legitimate Message
"""Your security alert requires immediate verification.""",high,Suspicious Message
Use code WELCOME5 for 25% off electronics this tonight.,medium,Suspicious Message
Please confirm your attendance tomorrow.,low,Legitimate Message
Please send the updated file version.,low,Legitimate Message
our store rewards: claim your spa day worth $100 today.,medium,Suspicious Message
"""Receive bonus points after completing registration.""",medium,Suspicious Message
"""Security alert: confirm your password immediately.""",high,Suspicious Message
I will be at the cafe around 9 AM.,low,Legitimate Message
The project meeting went well today.,low,Legitimate Message
"""Your service account requires confirmation to avoid closure.""",high,Suspicious Message
"""Your password recovery request requires verification.""",high,Suspicious Message
"""Limited time bonus! Do not miss this chance.""",medium,Suspicious Message
Exclusive deal just for you: 30% off groceries at the club.,medium,Suspicious Message
"""Your transaction requires additional verification.""",high,Suspicious Message
"""Your account has been locked after multiple failed attempts.""",high,Suspicious Message
Your social media password will expire 12 hours. Click here to reset it.,high,Suspicious Message
"""Your account settings have changed. Confirm if this was you.""",high,Suspicious Message
Could you review the schedule before Friday?,low,Legitimate Message
"""Your bank account requires confirmation before the transaction can proceed.""",high,Suspicious Message
"The project report looks good, thanks for putting it together.",low,Legitimate Message
The weather looks good today.,low,Legitimate Message
Reminder: the workshop starts at 6:15 PM.,low,Legitimate Message
"""Your account information is outdated. Update it immediately.""",high,Suspicious Message
Use code FREESHIP for 30% off home goods this tonight.,medium,Spam / Promotional
"""Limited-time giveaway starts now.""",medium,Suspicious Message
The weekly sync is scheduled for Wednesday.,low,Legitimate Message
Use code VIP50 for 40% off furniture this tonight.,medium,Suspicious Message
the retailer rewards: claim your gadget bundle worth $2000 today.,medium,Suspicious Message
Use code FREESHIP for 40% off accessories this Friday.,medium,Spam / Promotional
Your Amazon subscription payment was declined. Update your card details now.,high,Suspicious Message
I will continue working on the project tomorrow.,low,Legitimate Message
Can you review my work before submission?,low,Legitimate Message
Can we reschedule the conference to next week?,low,Legitimate Message
Click here to confirm your email login before your session expires in the next hour.,high,Suspicious Message
